# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-13T04:25:20Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
rank	accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff	robust_z
1897	Q8NHW5	RPLP0P6	2	317	34364	18	0.523804	18	18	0	0.00126372
1898	Q6NUM9	RETSAT	2	610	66818.6	35	0.523806	35	34	0.0285714	0.00129263
1899	P35914	HMGCL	2	325	34359.8	18	0.523869	18	18	0	0.00198808
1900	Q330K2	NDUFAF6	2	333	38175.6	20	0.523895	20	20	0	0.00227449
1901	Q13162	PRDX4	2	271	30539.4	16	0.523913	16	15	0.0625	0.00247751
1902	Q9GZL7	WDR12	2	423	47707.2	25	0.52403	25	25	0	0.00377465
1903	Q15327	ANKRD1	1	319	36251.4	19	0.524118	19	19	0	0.00474992
1904	P98179	RBM3	2	157	17170.2	9	0.524163	9	9	0	0.00525504
1905	Q6PGP7	SKIC3	2	1564	175483	92	0.524266	92	91	0.0108696	0.00639781
1906	P36915	GNL1	2	607	68659.9	36	0.524324	36	37	-0.0277778	0.00703994
1907	Q8N3F8	MICALL1	2	863	93439.7	49	0.524402	49	45	0.0816327	0.00791074
1908	Q6XZF7	DNMBP	2	1577	177344	93	0.524403	93	88	0.0537634	0.00792206
1909	Q96EM0	L3HYPDH	2	354	38137.3	20	0.524421	20	20	0	0.00812388
1910	Q9H7C4	SYNC	1	482	55298.5	29	0.524427	29	28	0.0344828	0.00818487
1911	Q96HN2	AHCYL2	2	611	66720.3	35	0.524578	35	35	0	0.00986244
1912	Q49AH0	CDNF	2	187	20964.2	11	0.524703	11	9	0.181818	0.0112497
1913	Q8N442	GUF1	2	669	74326.9	39	0.524709	39	39	0	0.0113211
1914	Q8N163	CCAR2	2	923	102900	54	0.524782	54	51	0.0555556	0.0121289
1915	Q15042	RAB3GAP1	2	981	110522	58	0.524782	58	55	0.0517241	0.0121299
1916	Q6NUK1	SLC25A24	2	477	53353.8	28	0.524799	28	28	0	0.0123164
1917	Q8NBS9	TXNDC5	2	432	47628.2	25	0.524899	25	25	0	0.0134298
1918	Q08211	DHX9	2	1270	140957	74	0.524984	74	73	0.0135135	0.0143651
1919	O75394	MRPL33	2	65	7619.1	4	0.524996	4	4	0	0.0145067
1920	O60264	SMARCA5	2	1052	121904	64	0.525005	64	65	-0.015625	0.0145978
1921	Q8WVM8	SCFD1	2	642	72378.8	38	0.525016	38	36	0.0526316	0.0147213
1922	P43246	MSH2	2	934	104742	55	0.525101	55	51	0.0727273	0.0156719
1923	Q5T447	HECTD3	2	861	97111.6	51	0.525169	51	50	0.0196078	0.0164246
1924	P05388	RPLP0	2	317	34273	18	0.525194	18	18	0	0.0167022
1925	Q10471	GALNT2	2	571	64731.9	34	0.525243	34	35	-0.0294118	0.0172439
1926	Q9Y3I0	RTCB	2	505	55209.7	29	0.52527	29	29	0	0.0175497
1927	Q6YP21	KYAT3	2	454	51399.6	27	0.525296	27	26	0.037037	0.0178292
1928	P11021	HSPA5	2	654	72332.1	38	0.525354	38	39	-0.0263158	0.0184813
1929	Q9Y5B9	SUPT16H	2	1047	119912	63	0.525384	63	63	0	0.0188047
1930	P49721	PSMB2	2	201	22835.9	12	0.525488	12	12	0	0.019961
1931	O95372	LYPLA2	2	231	24736.6	13	0.525537	13	13	0	0.0205091
1932	Q709C8	VPS13C	2	3753	422384	222	0.525588	222	215	0.0315315	0.021078
1933	O60879	DIAPH2	2	1101	125567	66	0.525614	66	65	0.0151515	0.0213657
1934	P17480	UBTF	2	764	89404.7	47	0.5257	47	48	-0.0212766	0.0223127
1935	Q9UJS0	SLC25A13	2	675	74174.6	39	0.525786	39	35	0.102564	0.0232779
1936	Q7L775	EPM2AIP1	2	607	70368.5	37	0.525803	37	35	0.0540541	0.0234649
1937	Q32P51	HNRNPA1L2	2	320	34225.1	18	0.52593	18	16	0.111111	0.0248667
1938	Q86UX2	ITIH5	2	942	104575	55	0.525939	55	51	0.0727273	0.0249714
1939	P42345	MTOR	2	2549	288887	152	0.526158	152	153	-0.00657895	0.0273984
1940	O43676	NDUFB3	2	98	11401.8	6	0.526232	6	6	0	0.0282294
1941	Q9UH90	FBXO40	2	709	79781	42	0.526441	42	42	0	0.0305475
1942	P45954	ACADSB	2	432	47484.8	25	0.526485	25	25	0	0.0310279
1943	Q9BXP5	SRRT	2	876	100665	53	0.526498	53	49	0.0754717	0.0311799
1944	Q5THJ4	VPS13D	2	4388	491909	259	0.526521	259	249	0.03861	0.0314278
1945	P49137	MAPKAPK2	2	400	45567.1	24	0.526696	24	24	0	0.0333713
1946	Q96QA5	GSDMA	2	445	49364.2	26	0.526698	26	26	0	0.0333932
1947	Q3ZCW2	LGALSL	2	172	18985.4	10	0.526719	10	11	-0.1	0.033634
1948	O00151	PDLIM1	1	329	36071.3	19	0.526735	19	19	0	0.0338051
1949	Q9H307	PNN	2	717	81626.5	43	0.52679	43	44	-0.0232558	0.0344136
1950	Q9UP83	COG5	2	860	94899.7	50	0.526872	50	48	0.04	0.0353322
1951	O75608	LYPLA1	2	230	24669.2	13	0.526973	13	12	0.0769231	0.0364461
1952	P04406	GAPDH	2	335	36052.8	19	0.527004	19	20	-0.0526316	0.0367993
1953	P34913	EPHX2	2	555	62614.9	33	0.527031	33	30	0.0909091	0.0370939
1954	P45877	PPIC	2	212	22763.1	12	0.52717	12	8	0.333333	0.0386327
1955	O94903	PLPBP	2	275	30343.5	16	0.527296	16	17	-0.0625	0.0400343
1956	P49591	SARS1	2	514	58776.5	31	0.527422	31	30	0.0322581	0.0414303
1957	Q9NSI8	SAMSN1	2	373	41707.6	22	0.527482	22	21	0.0454545	0.0421063
1958	P12270	TPR	2	2363	267288	141	0.52752	141	140	0.0070922	0.0425224
1959	P25788	PSMA3	2	255	28432.9	15	0.527558	15	14	0.0666667	0.0429437
1960	Q71UM5	RPS27L	2	84	9477.09	5	0.527588	5	5	0	0.0432764
1961	Q15020	SART3	2	963	109933	58	0.527594	58	57	0.0172414	0.0433495
1962	O75643	SNRNP200	2	2136	244504	129	0.527599	129	122	0.0542636	0.0433983
1963	Q92538	GBF1	2	1860	206571	109	0.527664	109	101	0.0733945	0.0441233
1964	P78356	PIP4K2B	2	416	47377.5	25	0.527677	25	25	0	0.0442679
1965	Q01484	ANK2	1	3957	433708	229	0.528004	229	224	0.0218341	0.0479019
1966	Q13522	PPP1R1A	2	171	18938.9	10	0.528013	10	9	0.1	0.0479958
1967	O43741	PRKAB2	2	272	30301.8	16	0.528022	16	15	0.0625	0.048097
1968	Q9C0C2	CNOT12	2	1729	181793	96	0.528074	96	86	0.104167	0.0486752
1969	P01042	KNG1	2	644	71956.4	38	0.528097	38	38	0	0.0489342
1970	Q9H583	HEATR1	2	2144	242366	128	0.528126	128	127	0.0078125	0.0492528
1971	P31943	HNRNPH1	2	449	49229	26	0.528144	26	25	0.0384615	0.0494531
1972	P55010	EIF5	2	431	49222.2	26	0.528217	26	26	0	0.0502607
1973	Q16363	LAMA4	2	1823	202566	107	0.528224	107	107	0	0.0503396
1974	Q7Z478	DHX29	2	1369	155233	82	0.528237	82	83	-0.0121951	0.0504842
1975	P00734	F2	2	622	70036	37	0.5283	37	35	0.0540541	0.0511777
1976	P28370	SMARCA1	2	1042	121140	64	0.528313	64	65	-0.015625	0.0513254
1977	Q9NTI5	PDS5B	2	1447	164665	87	0.528346	87	87	0	0.0516943
1978	P07585	DCN	2	359	39746.2	21	0.528352	21	21	0	0.0517601
1979	Q9H0E2	TOLLIP	2	274	30281.4	16	0.528377	16	16	0	0.0520365
1980	Q8WW12	PCNP	2	178	18924.6	10	0.528411	10	12	-0.2	0.0524206
1981	P42677	RPS27	2	84	9461.06	5	0.528482	5	5	0	0.0532065
1982	Q96KP1	EXOC2	2	924	104065	55	0.528517	55	51	0.0727273	0.0535961
1983	A6NHZ5	LRRC14B	2	514	56756.6	30	0.528573	30	27	0.1	0.0542149
1984	O94888	UBXN7	2	489	54861.5	29	0.528604	29	27	0.0689655	0.0545571
1985	Q9BVS5	TRMT61B	2	477	52964.6	28	0.528655	28	27	0.0357143	0.0551271
1986	Q9UDR5	AASS	2	926	102130	54	0.528736	54	54	0	0.0560225
1987	Q7Z7F7	MRPL55	2	128	15128.1	8	0.528818	8	8	0	0.0569386
1988	P00492	HPRT1	2	218	24579.1	13	0.528904	13	13	0	0.0578918
1989	P19320	VCAM1	2	739	81275.2	43	0.529067	43	42	0.0232558	0.0596929
1990	P02462	COL4A1	2	1669	160610	85	0.529232	85	81	0.0470588	0.0615331
1991	Q86X76	NIT1	2	327	35895.9	19	0.529308	19	19	0	0.0623725
1992	Q86VS8	HOOK3	2	718	83124.5	44	0.529327	44	44	0	0.0625798
1993	P69849	NOMO3	2	1222	134132	71	0.529329	71	69	0.028169	0.0626112
1994	Q6UB35	MTHFD1L	2	978	105788	56	0.529358	56	52	0.0714286	0.0629311
1995	Q9BSL1	UBAC1	2	405	45337.7	24	0.529361	24	24	0	0.0629645
1996	O00541	PES1	2	588	68001.7	36	0.529398	36	36	0	0.0633755
1997	Q04760	GLO1	2	184	20777.4	11	0.52942	11	12	-0.0909091	0.0636224
1998	Q9GZR7	DDX24	2	859	96330.4	51	0.529428	51	51	0	0.0637056
1999	P42229	STAT5A	2	794	90645.4	48	0.529536	48	47	0.0208333	0.0649047
2000	Q96C23	GALM	2	342	37765.1	20	0.52959	20	19	0.05	0.0655008
2001	Q92736	RYR2	1	4967	564560	299	0.529616	299	296	0.0100334	0.0657968
2002	P53396	ACLY	2	1101	120838	64	0.529636	64	62	0.03125	0.0660133
2003	Q9UHQ4	BCAP29	2	241	28319.7	15	0.529668	15	15	0	0.0663652
2004	Q14914	PTGR1	2	329	35869.5	19	0.529698	19	19	0	0.0666991
2005	Q96DA0	ZG16B	2	172	18878.4	10	0.529705	10	10	0	0.0667863
2006	Q96Q06	PLIN4	2	1371	135891	72	0.529837	72	73	-0.0138889	0.0682411
2007	Q5HYI8	RABL3	2	236	26422.5	14	0.529852	14	14	0	0.0684101
2008	Q8IVU3	HERC6	2	1022	115125	61	0.529861	61	58	0.0491803	0.0685091
2009	P53602	MVD	2	400	43403.9	23	0.529906	23	22	0.0434783	0.0690123
2010	P14625	HSP90B1	2	803	92467.7	49	0.529915	49	49	0	0.0691103
2011	Q4U2R6	MRPL51	2	128	15094.6	8	0.529989	8	8	0	0.0699369
2012	Q9HDC5	JPH1	1	661	71685	38	0.530097	38	39	-0.0263158	0.0711306
2013	Q16740	CLPP	2	277	30179.5	16	0.53016	16	16	0	0.0718377
2014	Q9BRG1	VPS25	2	176	20747.4	11	0.530187	11	11	0	0.0721353
2015	Q9P2K5	MYEF2	2	600	64121.1	34	0.530246	34	33	0.0294118	0.0727903
2016	Q5VTT5	MYOM3	1	1437	162187	86	0.530252	86	82	0.0465116	0.0728581
2017	Q9NZC3	GDE1	2	331	37717.8	20	0.530253	20	19	0.05	0.0728684
2018	O43795	MYO1B	2	1136	131983	70	0.53037	70	70	0	0.0741688
2019	Q92643	PIGK	2	395	45251.1	24	0.530374	24	24	0	0.074205
2020	Q9NZR1	TMOD2	1	351	39594.5	21	0.530376	21	22	-0.047619	0.0742319
2021	P06576	ATP5F1B	2	529	56559.1	30	0.530419	30	30	0	0.0747055
2022	P20807	CAPN3	1	821	94252.4	50	0.530491	50	51	-0.02	0.0755035
2023	P33897	ABCD1	2	745	82935.6	44	0.530532	44	42	0.0454545	0.0759656
2024	Q96AX9	MIB2	2	955	103656	55	0.530599	55	53	0.0363636	0.0767078
2025	P20774	OGN	2	298	33921.7	18	0.530634	18	17	0.0555556	0.0770894
2026	P51114	FXR1	1	621	69720	37	0.530694	37	37	0	0.0777645
2027	P24298	GPT	2	496	54636.1	29	0.530784	29	29	0	0.0787647
2028	O75128	COBL	2	1261	135615	72	0.530916	72	70	0.0277778	0.0802227
2029	Q9Y4F1	FARP1	2	1045	118631	63	0.531058	63	60	0.047619	0.0818071
2030	Q969S9	GFM2	2	779	86599.3	46	0.531182	46	43	0.0652174	0.0831783
2031	O00186	STXBP3	2	592	67763.4	36	0.53126	36	37	-0.0277778	0.0840464
2032	P49821	NDUFV1	2	464	50816.5	27	0.531324	27	26	0.037037	0.0847508
2033	P55145	MANF	2	182	20699.9	11	0.531404	11	10	0.0909091	0.0856477
2034	P84077	ARF1	1	181	20696.5	11	0.531491	11	12	-0.0909091	0.0866097
2035	P39656	DDOST	2	456	50800.1	27	0.531495	27	24	0.111111	0.0866551
2036	Q7L5N7	LPCAT2	2	544	60207	32	0.531499	32	30	0.0625	0.0867004
2037	P35080	PFN2	2	140	15046.1	8	0.531698	8	8	0	0.088903
2038	Q32MK0	MYLK3	2	819	88391.7	47	0.531724	47	43	0.0851064	0.0891982
2039	Q8N465	D2HGDH	2	521	56415.3	30	0.53177	30	29	0.0333333	0.0897111
2040	Q96PC5	MIA2	2	1412	159833	85	0.531804	85	80	0.0588235	0.0900798
2041	Q9Y5K5	UCHL5	2	329	37606.3	20	0.531825	20	20	0	0.0903192
2042	Q9C0B1	FTO	2	505	58281.1	31	0.531904	31	31	0	0.0911992
2043	Q15121	PEA15	2	130	15039.8	8	0.53192	8	8	0	0.0913756
2044	Q13907	IDI1	2	227	26318.8	14	0.531939	14	14	0	0.0915862
2045	P53618	COPB1	2	953	107141	57	0.532011	57	56	0.0175439	0.0923812
2046	P13010	XRCC5	2	732	82703.3	44	0.532022	44	44	0	0.0925061
2047	P0CF74	IGLC6	2	106	11276.4	6	0.532085	6	6	0	0.0932026
2048	P14406	COX7A2	2	83	9395.83	5	0.532151	5	5	0	0.0939355
2049	O75832	PSMD10	2	226	24427.5	13	0.532187	13	13	0	0.0943402
2050	Q92905	COPS5	2	334	37578.3	20	0.532223	20	20	0	0.0947303
2051	O75880	SCO1	1	301	33813.5	18	0.532331	18	15	0.166667	0.0959392
2052	O43464	HTRA2	2	458	48840.1	26	0.532349	26	25	0.0384615	0.0961396
2053	O95140	MFN2	2	757	86400.8	46	0.532402	46	44	0.0434783	0.0967257
2054	Q14195	DPYSL3	2	570	61962.5	33	0.53258	33	32	0.030303	0.0987002
2055	Q9NY33	DPP3	2	737	82587.9	44	0.532766	44	44	0	0.100761
2056	Q9H9J2	MRPL44	2	332	37534.9	20	0.532838	20	20	0	0.101564
2057	Q9NQ89	FERRY3	2	552	63799.6	34	0.532919	34	33	0.0294118	0.102462
2058	P15311	EZR	2	586	69411.7	37	0.533051	37	39	-0.0540541	0.103928
2059	Q96HE7	ERO1A	2	468	54391.9	29	0.533168	29	28	0.0344828	0.105225
2060	P27361	MAPK3	2	379	43134.9	23	0.533211	23	22	0.0434783	0.105702
2061	P36957	DLST	2	453	48754.8	26	0.533281	26	23	0.115385	0.106485
2062	Q8NEY1	NAV1	2	1877	202469	108	0.533416	108	108	0	0.107982
2063	Q92952	KCNN1	1	543	59986.5	32	0.533453	32	29	0.09375	0.108395
2064	Q9H078	CLPB	2	707	78727.6	42	0.533485	42	42	0	0.108744
2065	O60271	SPAG9	2	1321	146203	78	0.533503	78	76	0.025641	0.108951
2066	Q92522	H1-10	2	213	22486.9	12	0.533644	12	14	-0.166667	0.110514
2067	Q99707	MTR	2	1265	140525	75	0.533711	75	72	0.04	0.11126
2068	Q9Y2W1	THRAP3	2	955	108664	58	0.533754	58	57	0.0172414	0.111733
2069	P31150	GDI1	2	447	50582.2	27	0.533785	27	26	0.037037	0.112074
2070	Q86U86	PBRM1	2	1689	192945	103	0.53383	103	100	0.0291262	0.112581
2071	O00442	RTCA	2	366	39336.3	21	0.533858	21	20	0.047619	0.112886
2072	P20908	COL5A1	2	1838	183558	98	0.53389	98	96	0.0204082	0.11324
2073	P61204	ARF3	2	181	20600.5	11	0.533968	11	12	-0.0909091	0.114107
2074	Q86XP3	DDX42	2	938	102974	55	0.534116	55	52	0.0545455	0.115756
2075	Q9H0D6	XRN2	2	950	108581	58	0.534164	58	54	0.0689655	0.116279
2076	Q2TBA0	KLHL40	1	621	69256.4	37	0.534247	37	37	0	0.117205
2077	P22626	HNRNPA2B1	2	353	37429.5	20	0.534337	20	19	0.05	0.118208
2078	Q9UKK9	NUDT5	2	219	24327.3	13	0.534378	13	12	0.0769231	0.118664
2079	O60237	PPP1R12B	1	982	110402	59	0.53441	59	54	0.0847458	0.119016
2080	P0DP23	CALM1	1	149	16837.4	9	0.534524	9	9	0	0.120284
2081	P0DP24	CALM2	1	149	16837.4	9	0.534524	9	9	0	0.120284
2082	P0DP25	CALM3	1	149	16837.4	9	0.534524	9	9	0	0.120284
2083	Q16890	TPD52L1	2	204	22448.8	12	0.534551	12	12	0	0.120578
2084	Q9Y6D5	ARFGEF2	2	1785	202035	108	0.53456	108	108	0	0.120683
2085	Q9H0U6	MRPL18	2	180	20576.3	11	0.534597	11	9	0.181818	0.121086
2086	Q15631	TSN	2	228	26182.6	14	0.534707	14	13	0.0714286	0.122307
2087	P15374	UCHL3	2	230	26182.2	14	0.534714	14	12	0.142857	0.122389
2088	O95786	RIGI	2	925	106598	57	0.534718	57	58	-0.0175439	0.122435
2089	P61221	ABCE1	2	599	67313.6	36	0.534811	36	34	0.0555556	0.123462
2090	O14672	ADAM10	2	748	84141.2	45	0.534815	45	44	0.0222222	0.123515
2091	Q9BTV4	TMEM43	2	400	44874.9	24	0.53482	24	22	0.0833333	0.123571
2092	P49841	GSK3B	2	420	46743.7	25	0.534832	25	24	0.04	0.123696
2093	P31689	DNAJA1	2	397	44867.8	24	0.534905	24	22	0.0833333	0.124512
2094	Q8N111	CEND1	2	149	14953.8	8	0.534982	8	8	0	0.125367
2095	Q9NR99	MXRA5	2	2828	312146	167	0.535006	167	156	0.0658683	0.125634
2096	Q9UPY3	DICER1	2	1922	218679	117	0.535032	117	113	0.034188	0.12592
2097	O75746	SLC25A12	2	678	74760.8	40	0.53504	40	38	0.05	0.126005
2098	P54578	USP14	2	494	56068.3	30	0.535061	30	30	0	0.126246
2099	Q9H5N1	RABEP2	2	569	63541.6	34	0.535082	34	34	0	0.12648
2100	Q9UJ70	NAGK	2	344	37375.1	20	0.535115	20	20	0	0.126846
2101	Q9BQ69	MACROD1	2	325	35504.6	19	0.535142	19	18	0.0526316	0.127142
2102	Q8N1B4	VPS52	2	723	82219.8	44	0.535151	44	44	0	0.127239
2103	Q9NPC6	MYOZ2	1	264	29897.5	16	0.535162	16	17	-0.0625	0.127366
2104	Q2M389	WASHC4	2	1173	136401	73	0.535185	73	74	-0.0136986	0.127623
2105	P11177	PDHB	2	359	39232.9	21	0.535265	21	18	0.142857	0.128504
2106	Q14204	DYNC1H1	2	4646	532400	285	0.535312	285	281	0.0140351	0.12903
2107	Q8TD30	GPT2	2	523	57902.9	31	0.535379	31	31	0	0.129775
2108	P01772	IGHV3-33	2	117	13073.8	7	0.535424	7	7	0	0.130268
2109	Q15582	TGFBI	2	683	74679.9	40	0.53562	40	39	0.025	0.132445
2110	O00418	EEF2K	2	725	82142.9	44	0.535652	44	43	0.0227273	0.132805
2111	Q9Y2K3	MYH15	1	1926	222159	119	0.535653	119	118	0.00840336	0.132819
2112	Q8IY21	DDX60	2	1712	197850	106	0.535759	106	104	0.0188679	0.133989
2113	P11717	IGF2R	2	2491	274372	147	0.535769	147	137	0.0680272	0.134102
2114	Q8N3L3	TXLNB	2	684	76517.7	41	0.535824	41	39	0.0487805	0.134714
2115	P26373	RPL13	2	211	24261.1	13	0.535836	13	14	-0.0769231	0.13485
2116	Q12884	FAP	2	760	87711.3	47	0.535849	47	46	0.0212766	0.134987
2117	P57740	NUP107	2	925	106372	57	0.535853	57	55	0.0350877	0.13504
2118	O14879	IFIT3	2	490	55984	30	0.535868	30	30	0	0.135196
2119	Q502W7	CCDC38	2	563	65313.8	35	0.535875	35	36	-0.0285714	0.135277
2120	O43237	DYNC1LI2	2	492	54098.6	29	0.536058	29	26	0.103448	0.137316
2121	O76094	SRP72	2	671	74605.1	40	0.536157	40	39	0.025	0.138407
2122	Q9UKS6	PACSIN3	2	424	48486	26	0.536237	26	27	-0.0384615	0.139303
2123	Q15746	MYLK	2	1914	210712	113	0.536276	113	102	0.0973451	0.13973
2124	Q9Y2Z0	SUGT1	2	365	41023.5	22	0.536278	22	23	-0.0454545	0.139753
2125	Q8NFF5	FLAD1	2	587	65264.6	35	0.536279	35	33	0.0571429	0.13976
2126	Q9UBQ0	VPS29	2	182	20505.4	11	0.536443	11	11	0	0.141584
2127	O14744	PRMT5	2	637	72682.8	39	0.536578	39	37	0.0512821	0.143086
2128	Q14008	CKAP5	2	2032	225491	121	0.536606	121	122	-0.00826446	0.143392
2129	P50479	PDLIM4	1	330	35397.5	19	0.536761	19	19	0	0.145114
2130	P22059	OSBP	2	807	89419.4	48	0.536796	48	49	-0.0208333	0.145508
2131	Q92556	ELMO1	2	727	83828.1	45	0.536813	45	44	0.0222222	0.145692
2132	Q9P0P8	MTRES1	2	240	27941	15	0.536846	15	15	0	0.146063
2133	Q99614	TTC1	2	292	33525.7	18	0.536902	18	17	0.0555556	0.146678
2134	P16402	H1-3	2	221	22349.7	12	0.53692	12	13	-0.0833333	0.146883
2135	O43708	GSTZ1	2	216	24211.8	13	0.536927	13	13	0	0.146961
2136	Q96IU4	ABHD14B	2	210	22345.3	12	0.537026	12	11	0.0833333	0.14806
2137	Q8N6N6	NATD1	2	113	13031.8	7	0.537146	7	7	0	0.149393
2138	Q13576	IQGAP2	2	1575	180575	97	0.537172	97	95	0.0206186	0.149682
2139	P56377	AP1S2	2	157	18614.5	10	0.537216	10	10	0	0.150169
2140	Q9BPU6	DPYSL5	2	564	61420.6	33	0.537279	33	31	0.0606061	0.150867
2141	P00966	ASS1	2	412	46529.8	25	0.53729	25	25	0	0.150991
2142	Q03135	CAV1	2	178	20471.3	11	0.537337	11	11	0	0.15151
2143	Q16787	LAMA3	2	3333	366615	197	0.537349	197	186	0.0558376	0.151638
2144	O00461	GOLIM4	2	696	81878.9	44	0.537379	44	44	0	0.151976
2145	P55072	VCP	2	806	89320.6	48	0.53739	48	45	0.0625	0.152098
2146	Q13510	ASAH1	2	395	44659.1	24	0.537404	24	21	0.125	0.152255
2147	P46939	UTRN	2	3433	394459	212	0.537444	212	210	0.00943396	0.152701
2148	Q13155	AIMP2	2	320	35348.3	19	0.537509	19	18	0.0526316	0.153414
2149	Q96IV0	NGLY1	2	654	74389	40	0.537714	40	39	0.025	0.155692
2150	P30876	POLR2B	2	1174	133895	72	0.537736	72	68	0.0555556	0.155938
2151	P36405	ARL3	2	182	20455.2	11	0.537761	11	12	-0.0909091	0.156214
2152	Q9Y3A3	MOB4	2	225	26032.1	14	0.537798	14	15	-0.0714286	0.156628
2153	Q9BRT2	UQCC2	2	126	14874.6	8	0.53783	8	8	0	0.156985
2154	P21333	FLNA	1	2647	280736	151	0.537871	151	144	0.0463576	0.157442
2155	Q5VW32	BROX	2	411	46475.4	25	0.537919	25	25	0	0.157971
2156	O15061	SYNM	1	1565	172865	93	0.537992	93	95	-0.0215054	0.158777
2157	Q16654	PDK4	2	411	46468.5	25	0.537999	25	25	0	0.158855
2158	Q9HCC0	MCCC2	2	563	61332.4	33	0.538052	33	34	-0.030303	0.159446
2159	O95793	STAU1	2	577	63181.5	34	0.538132	34	33	0.0294118	0.160337
2160	Q4G0J3	LARP7	2	582	66897.8	36	0.538134	36	37	-0.0277778	0.160357
2161	Q14847	LASP1	2	261	29716.8	16	0.538415	16	16	0	0.163481
2162	Q5VYK3	ECPAS	2	1845	204288	110	0.538456	110	106	0.0363636	0.163932
2163	P53004	BLVRA	2	296	33428.1	18	0.53847	18	18	0	0.164085
2164	Q9BUR5	APOO	2	198	22284.3	12	0.538495	12	13	-0.0833333	0.164364
2165	P45880	VDAC2	2	294	31566.2	17	0.538551	17	16	0.0588235	0.164986
2166	P04439	HLA-A	2	365	40840	22	0.538687	22	21	0.0454545	0.166498
2167	P38117	ETFB	2	255	27843.3	15	0.538729	15	15	0	0.166966
2168	O95352	ATG7	2	703	77958.5	42	0.538748	42	41	0.0238095	0.167174
2169	O95167	NDUFA3	2	84	9278.74	5	0.538867	5	5	0	0.168491
2170	P16930	FAH	2	419	46373.7	25	0.539099	25	23	0.08	0.17107
2171	O43169	CYB5B	2	150	16694.3	9	0.539105	9	8	0.111111	0.171142
2172	Q96RP9	GFM1	2	751	83470.5	45	0.539113	45	45	0	0.171223
2173	Q9UGJ0	PRKAG2	2	569	63065.3	34	0.539124	34	32	0.0588235	0.17135
2174	Q8NEZ5	FBXO22	1	403	44507.9	24	0.539231	24	22	0.0833333	0.172532
2175	O14874	BCKDK	2	412	46359.7	25	0.539262	25	23	0.08	0.172881
2176	P12277	CKB	2	381	42643.7	23	0.539353	23	21	0.0869565	0.173889
2177	Q6PCE3	PGM2L1	2	622	70440.8	38	0.53946	38	38	0	0.175077
2178	Q7RTP6	MICAL3	2	2002	224291	121	0.539477	121	120	0.00826446	0.175267
2179	P35241	RDX	2	583	68562.9	37	0.53965	37	39	-0.0540541	0.177194
2180	P32856	STX2	2	288	33340.6	18	0.539883	18	16	0.111111	0.179774
2181	Q14896	MYBPC3	1	1274	140761	76	0.539924	76	69	0.0921053	0.180226
2182	P45973	CBX5	2	191	22224.8	12	0.539939	12	12	0	0.180392
2183	P31323	PRKAR2B	2	418	46301.5	25	0.539939	25	25	0	0.180398
2184	Q8NBU5	ATAD1	2	361	40743.4	22	0.539965	22	19	0.136364	0.180686
2185	P30085	CMPK1	2	196	22222.1	12	0.540003	12	11	0.0833333	0.181106
2186	Q15526	SURF1	2	300	33330.9	18	0.540039	18	19	-0.0555556	0.181505
2187	Q96AZ6	ISG20	2	181	20363.2	11	0.540191	11	11	0	0.183194
2188	P07476	IVL	2	585	68477.1	37	0.540327	37	37	0	0.1847
2189	P43490	NAMPT	2	491	55520.5	30	0.540341	30	29	0.0333333	0.184859
2190	P00750	PLAT	2	562	62916.3	34	0.5404	34	34	0	0.18552
2191	O00244	ATOX1	2	68	7401.59	4	0.540425	4	4	0	0.18579
2192	P29475	NOS1	1	1434	160968	87	0.54048	87	86	0.0114943	0.186402
2193	P19971	TYMP	2	482	49954.7	27	0.54049	27	27	0	0.186516
2194	Q07955	SRSF1	2	248	27744.3	15	0.540651	15	15	0	0.188307
2195	P01768	IGHV3-30	2	117	12946.6	7	0.540682	7	7	0	0.188642
2196	Q9BQ13	KCTD14	2	255	29590.8	16	0.540708	16	15	0.0625	0.188939
2197	Q7Z5L9	IRF2BP2	2	587	61023.7	33	0.540774	33	30	0.0909091	0.189663
2198	O95630	STAMBP	2	424	48076.2	26	0.540808	26	23	0.115385	0.190044
2199	Q00839	HNRNPU	2	825	90583.6	49	0.540937	49	44	0.102041	0.191474
2200	Q6P2Q9	PRPF8	2	2335	273596	148	0.540943	148	145	0.0202703	0.191547
2201	Q6IAN0	DHRS7B	2	325	35118.6	19	0.541024	19	19	0	0.192444
2202	Q9H1R3	MYLK2	1	596	64684	35	0.541092	35	33	0.0571429	0.193196
2203	P26232	CTNNA2	2	953	105311	57	0.541252	57	57	0	0.194972
2204	P11532	DMD	1	3685	426770	231	0.541275	231	229	0.00865801	0.195226
2205	O00764	PDXK	2	312	35101.8	19	0.541282	19	18	0.0526316	0.195308
2206	P07451	CA3	1	260	29557	16	0.541327	16	15	0.0625	0.195808
2207	Q969G5	CAVIN3	2	261	27700.7	15	0.541503	15	13	0.133333	0.197757
