# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:22:20Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# rows of the deep dataset (Table S5) none of whose accessions appear in a Table S2 protein group, with their share of the deep dataset's summed signal; reported, not used
row_index	identity_cell	gene	value	share_of_deep_signal
673	Q9UNF1;Q5H907;Q5H909;H7BXW3;Q9UNF1-2	MAGED2	5230605.908	4.161333936e-07
335	Q8N8Z6;Q8N8Z6-2;Q5H993	DCBLD1	5213603.506	4.147807268e-07
785	P11940;E7EQV3;P11940-2;Q9H361;Q96DU9;Q4VXU2;H0YC10;E5RGH3;E5RH24;E5RJB9;H0YAS7;H0YAS6;H0YB75;Q4VY17;E7ERJ7	PABPC1;PABPC3;PABPC5;PABPC1L	5158601.737	4.104049292e-07
97	P49588;H3BPK7	AARS	5145599.731	4.093705234e-07
793	Q9UMS4;H0YGF3;F5GY56	PRPF19	5112296.102	4.067209733e-07
341	Q13508;E7ESB3;Q13508-2;Q13508-3;E7ER42	ART3	5106307.92	4.062445692e-07
450	Q9HAV7;B4DWV5	GRPEL1	5084099.015	4.044776865e-07
385	Q92945;Q92945-2	KHSRP	5030498.224	4.00213347e-07
169	P35613;I3L1R4;I3L4S8;I3NI00;P35613-3;P35613-4;P35613-2;I3L4L2;I3L192	BSG	4973303.921	3.956631171e-07
307	P04080	CSTB	4971494.92	3.955191977e-07
329	P09622;F5H4I0;E9PEX6;B4DHG0;B4DT69	DLD	4909101.369	3.905553292e-07
745	O60664;O60664-3	PLIN3	4904999.868	3.902290244e-07
483	O60506;F6UXX1;O60506-4;O60506-3;O60506-2	SYNCRIP	4883396.639	3.885103278e-07
1000	Q7Z7M8	B3GNT8	4822997.091	3.837050969e-07
94	P61204;P84077;B7ZB63;F5H423;P84085;C9J1Z8	ARF3;ARF1;ARF5	4792895.94	3.813103277e-07
848	Q6V0I7;Q6V0I7-3	FAT4	4785805.01	3.807461917e-07
901	Q12884;B4DLR2	FAP	4768194.912	3.793451782e-07
156	P30049	ATP5D	4737203.048	3.768795461e-07
925	P37108;H0YLW0;H0YLA2	SRP14	4714406.208	3.750658889e-07
835	P26447;F5H3J5	S100A4	4682200.424	3.725036805e-07
449	P62993	GRB2	4639401.943	3.690987447e-07
733	Q99650;Q99650-2	OSMR	4633594.237	3.686366988e-07
617	Q12906;Q12906-4;Q12906-5;Q12906-2;C9JFV5;Q12906-6;Q12906-3;G5E9M5;B4DFG4	ILF3	4619096.123	3.674832665e-07
84	Q6UY14;Q6UY14-2;F8WAD0	ADAMTSL4	4587594.253	3.649770598e-07
188	P19022;A8MWK3	CDH2	4540200.164	3.612065094e-07
65	P62891;Q59GN2	RPL39;RPL39P5	4512903.011	3.590348189e-07
170	P15291;F5H0P7;P15291-2;B4DMM8	B4GALT1	4464203.668	3.551604259e-07
117	Q03154;F8WC59;C9JYZ0;C9J9D8;C9JWD4;C9J6I6	ACY1	4430798.5	3.525027977e-07
54	Q02543;B4DM74	RPL18A	4420099.034	3.51651576e-07
343	Q9HBW9	ELTD1	4296699.685	3.41834245e-07
959	P52888	THOP1	4231399.204	3.366391086e-07
389	P15090;P02689;E5RIR0;E5RH45	FABP4;PMP2	4226394.184	3.362409223e-07
316	P07585;H0YIH3;F8VNV6;P07585-3;P07585-2	DCN	4149999.076	3.301631263e-07
275	P0C0L5;P0C0L4	C4B;C4A	4138395.565	3.292399812e-07
624	Q07666;E7ET98;Q07666-2;Q5VWX1;F5H5F6	KHDRBS1;KHDRBS2	4087502.205	3.251910379e-07
721	Q9Y266	NUDC	4001695.142	3.183644513e-07
1007	P35916;E9PD35;P35916-3;P35916-1;E9PFB0	FLT4	3976802.288	3.163840406e-07
884	P52565;A8MXW0	ARHGDIA	3842598.421	3.057071302e-07
175	P07686;Q5URX0;H0YA83	HEXB	3780898.337	3.007984321e-07
419	P16930;Q53XA7;H0YLC7	FAH	3778600.694	3.006156376e-07
734	Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7;Q8IYS5-6;Q8IYS5-2;Q8IYS5-3	OSCAR	3757500.093	2.989369287e-07
633	P11047	LAMC1	3738496.686	2.974250671e-07
802	P12273	PIP	3642696.597	2.898034613e-07
973	Q13263;Q13263-2	TRIM28	3596101.987	2.860965154e-07
296	Q92905	COPS5	3563501.944	2.835029408e-07
924	P29353;P29353-2;P29353-7;P29353-6;Q5T181;Q5T182;B4DL02	SHC1	3423000.795	2.72325035e-07
972	P20290;D6RDG3;P20290-2;H0Y9Y1	BTF3	3384402.444	2.692542507e-07
679	Q641Q3;B3KSJ5	METRNL	3269000.598	2.600731801e-07
334	P98082;P98082-2;P98082-3	DAB2	3265096.339	2.597625675e-07
56	P46778;G3V1B3	RPL21	3213401.559	2.556498653e-07
879	Q86UN3;G3V1D7;Q0GGW3	RTN4RL2	3166598.488	2.519263348e-07
223	Q9UBR2	CTSZ	3156203.521	2.510993382e-07
897	Q9BYH1;B0QYH4;B0QYH5;Q9BYH1-2;Q9BYH1-3;Q9BYH1-5;Q9BYH1-4;G8JLP3;Q9BYH1-6	SEZ6L	3038400.368	2.41727226e-07
702	Q9BXJ9;F5H5A7;Q9BXJ9-4	NAA15	2942002.246	2.340580423e-07
201	O43852;O43852-4;H0Y875;F5H1Q9;O43852-2;O43852-3	CALU	2941799.027	2.340418747e-07
179	Q13867;E7EMN3	BLMH	2898898.436	2.306288153e-07
229	Q9NZ45	CISD1	2867999.029	2.281705389e-07
831	Q8WZA1;F5H827;Q5VST3	POMGNT1	2797795.711	2.225853456e-07
675	O00264;B7Z1L3	PGRMC1	2789099.45	2.218934937e-07
839	P25815	S100P	2661999.687	2.117817674e-07
842	Q08188;E7ERY7	TGM3	2634201.544	2.095702194e-07
885	C9J6V4;Q9UNA1;Q9UNA1-2	ARHGAP26	2554000.63	2.031896434e-07
851	P16109;Q5R343;Q5R342;H0Y416;Q5R348;Q5R345;Q5R341;G3V1U2;Q5R349	SELP	2526998.592	2.010414316e-07
159	Q9UII2	ATPIF1	2517903.027	2.003178121e-07
102	P26572;D6RA48;D6RBS3;D6RAK2;D6R9U2;D6RD15;D6RB69;D6RHZ8;D6RF69	MGAT1	2501099.676	1.989809812e-07
843	P22061;B7Z972;H7BY58;P22061-2	PCMT1	2455200.704	1.953293785e-07
382	P15311;E7EQR4	EZR	2450501.654	1.949555343e-07
811	Q16186;E9PEC0	ADRM1	2443098.629	1.943665689e-07
362	P61916;H0YIZ1;G3V3E8;E7EMS2;G3V3D1;G3V2V8;B4DQV7	NPC2	2407797.726	1.915581209e-07
405	O00602	FCN1	2384201.737	1.896808854e-07
834	Q96FQ6	S100A16	2363899.452	1.880656885e-07
876	P18754;P18754-2;H7C497;C9JRH2;C9JMJ4;C9J3R0;C9JQZ4;C9JW69	RCC1	2352599.498	1.871666935e-07
311	P22695;H3BRG4	UQCRC2	2257501.253	1.796009246e-07
322	Q02487-2;Q02487;F8W7U2	DSC2	2230498.831	1.774526822e-07
894	Q00266	MAT1A	2230498.831	1.774526822e-07
815	P28066;B4E2V4	PSMA5	2222199.267	1.767923905e-07
676	O15173	PGRMC2	2215001.374	1.762197449e-07
158	P18859;A8MUH2	ATP5J	2209403.308	1.757743773e-07
375	O60841	EIF5B	2151101.98	1.711360754e-07
418	P07954;P07954-2	FH	2146999.78	1.70809715e-07
720	P22307;B4DHP6;A6NM69;C9JC79;E1B6W5;P22307-2	SCP2	2068902.384	1.645964894e-07
776	P40197	GP5	2067497.533	1.644847232e-07
193	Q9Y2V2	CARHSP1	1983901.017	1.578340019e-07
641	Q6PI73;C9JFH3;B5ME96;F8WCY4;D3YTC4	LILRA6	1929301.047	1.534901704e-07
850	Q9HCL0;Q9HCL0-2	PCDH18	1809197.588	1.439350517e-07
630	P20700;E9PBF6	LMNB1	1726000.829	1.373161341e-07
350	Q7Z2Z2;Q7Z2Z2-2	EFTUD1	1641901.123	1.306253804e-07
606	Q9UKX5;F5H1A1	ITGA11	1640601.106	1.305219544e-07
1029	H7C0J0	CHL1	1601699.352	1.274270321e-07
357	Q96AP7;F8WDW9;C9JIE7	ESAM	1550101.013	1.233220025e-07
454	P63244;D6RAC2;D6REE5;D6RGK8;H0Y9P0;D6RF23;D6R909;D6RAU2;E9PD14;D6RBD0;D6RFX4;H0YAF8;D6RFZ9;D6RHH4;D6R9Z1;H0YAM7;H0Y8W2;D6R9L0	GNB2L1	1458098.959	1.160025585e-07
434	Q07075	ENPEP	1455998.743	1.158354708e-07
19	P62277;E9PS50	RPS13	1425998.274	1.134487116e-07
912	P29508;P29508-2	SERPINB3	1422698.914	1.131862231e-07
968	P04066	FUCA1	1397999.448	1.112211978e-07
794	O95926	SYF2	1334900.82	1.062012352e-07
857	P32322;A6NFM2;B4DMU0	PYCR1	1333902.234	1.061217903e-07
465	Q8NDA2;Q8NDA2-2;Q8NDA2-3	HMCN2	1270600.436	1.01085664e-07
882	Q8TC12;H0YJ10;H0YIZ8;G3V2G6;G3V234;H0YJ46;Q8TC12-2	RDH11	1152099.531	9.16580404e-08
70	P62424;Q5T8U3	RPL7A	1127898.45	8.973266537e-08
819	P28074;E9PAV2	PSMB5	1127000.218	8.966120437e-08
994	O43399;O43399-2;O43399-3;O43399-4;B4DPJ6;O43399-5;Q5JWU6	TPD52L2	1097099.457	8.728237764e-08
716	Q14112;Q14112-2;E7EPP3;H0Y3N6	NID2	1084700.899	8.629598064e-08
417	P09972;A8MVZ9;B7Z3K7;C9J8F3;B7Z1N6	ALDOC	1074899.844	8.551623421e-08
150	O75342	ALOX12B	1067699.403	8.494338586e-08
999	Q9NY97;Q9NY97-2	B3GNT2	1046600.65	8.326482398e-08
591	Q8TDY8	IGDCC4	864979.8688	6.881554729e-08
336	P78527;E7EUY0;P78527-2	PRKDC	734329.5417	5.842134728e-08
372	Q04637;Q04637-3;C9J6B6;C9JF13;E7EX73;E9PGM1;E7EUU4;Q04637-5;Q04637-4;E9PFM1;F8WCF2;C9JHW9;C9J2Z7;C9K073;Q04637-6;G5E9S1	EIF4G1	726289.892	5.778173367e-08
813	P25788;P25788-2;G3V4X5	PSMA3	674430.1858	5.365591041e-08
368	Q8IYD1;P15170;P15170-2;H3BR35;F5GWG9	GSPT2;GSPT1	586710.6883	4.667717547e-08
855	Q9HBR0;H0YF92;Q9HBR0-3;I3L0Q8	SLC38A10	444999.9887	3.540304101e-08
747	Q92626;H7C300;C9J4I9;H7C1W1;Q92626-2	PXDN	105950.0095	8.429107025e-09
