# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-19T05:52:13Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession_a	gene_a	accession_b	gene_b	n_shared_peptides	frac_of_a	frac_of_b
O75400	PRPF40A	Q8IYE0	CCDC146	1	0.025641	0.0153846
O75439	PMPCB	P31930	UQCRC1	1	0.037037	0.04
O75475	PSIP1	P51858	HDGF	1	0.0285714	0.0588235
O75475	PSIP1	Q7Z4V5	HDGFL2	1	0.0285714	0.0263158
O75475	PSIP1	Q9Y3E1	HDGFL3	1	0.0285714	0.1
O75487	GPC4	P35052	GPC1	1	0.027027	0.0277778
O75582	RPS6KA5	Q9NX20	MRPL16	1	0.0204082	0.0714286
O75628	REM1	P55042	RRAD	1	0.0526316	0.0666667
O75764	TCEA3	P23193	TCEA1	1	0.0454545	0.0526316
O75891	ALDH1L1	Q9UPV9	TRAK1	1	0.015625	0.0166667
O75964	ATP5MG	P04114	APOB	1	0.125	0.00340136
O76041	NEBL	P20929	NEB	1	0.0140845	0.00213675
O76094	SRP72	Q86V48	LUZP1	1	0.025	0.0140845
O94760	DDAH1	O95865	DDAH2	1	0.0526316	0.0555556
O94855	SEC24D	P53992	SEC24C	1	0.0232558	0.0217391
O94875	SORBS2	Q9BX66	SORBS1	1	0.015873	0.0135135
O94885	SASH1	O95613	PCNT	1	0.0142857	0.0044843
O94885	SASH1	Q9NSI8	SAMSN1	1	0.0142857	0.0454545
O94901	SUN1	Q9UH99	SUN2	1	0.0232558	0.0294118
O94906	PRPF6	Q502W7	CCDC38	1	0.015873	0.0285714
O94929	ABLIM3	Q6H8Q1	ABLIM2	1	0.0212766	0.0238095
O95163	ELP1	Q8NDA2	HMCN2	1	0.0147059	0.00403226
O95168	NDUFB4	P07814	EPRS1	1	0.142857	0.0102041
O95182	NDUFA7	Q5SRE5	NUP188	1	0.0909091	0.0116279
O95208	EPN2	Q9Y6I3	EPN1	1	0.0384615	0.0588235
O95292	VAPB	Q9P0L0	VAPA	1	0.0588235	0.0588235
O95359	TACC2	P11277	SPTB	1	0.00680272	0.00689655
O95613	PCNT	Q99459	CDC5L	1	0.0044843	0.0212766
O95613	PCNT	Q99996	AKAP9	1	0.0044843	0.00355872
O95613	PCNT	Q9BY77	POLDIP3	1	0.0044843	0.0357143
O95613	PCNT	Q9BZF9	UACA	1	0.0044843	0.00909091
O95757	HSPA4L	Q8WYP5	AHCTF1	1	0.016129	0.00869565
O95758	PTBP3	Q9UKA9	PTBP2	1	0.0526316	0.0454545
O95819	MAP4K4	Q02818	NUCB1	1	0.0147059	0.0333333
P00352	ALDH1A1	P30837	ALDH1B1	1	0.04	0.0384615
P00492	HPRT1	Q9NRG1	PRTFDC1	1	0.0769231	0.111111
P01764	IGHV3-23	P01767	IGHV3-53	1	0.166667	0.166667
P01764	IGHV3-23	P01772	IGHV3-33	1	0.166667	0.142857
P01767	IGHV3-53	P01768	IGHV3-30	1	0.166667	0.142857
P02042	HBD	P69891	HBG1	1	0.0909091	0.0833333
P02144	MB	P07814	EPRS1	1	0.0769231	0.0102041
P02452	COL1A1	P02461	COL3A1	1	0.0114943	0.0121951
P02452	COL1A1	P08123	COL1A2	1	0.0114943	0.0125
P02452	COL1A1	P20908	COL5A1	1	0.0114943	0.0102041
P02458	COL2A1	P08123	COL1A2	1	0.011236	0.0125
P02458	COL2A1	P20908	COL5A1	1	0.011236	0.0102041
P02461	COL3A1	P08123	COL1A2	1	0.0121951	0.0125
P02461	COL3A1	P20908	COL5A1	1	0.0121951	0.0102041
P02462	COL4A1	P12109	COL6A1	1	0.0117647	0.016129
P02545	LMNA	P20700	LMNB1	1	0.0227273	0.0263158
P02585	TNNC2	P0DP23	CALM1	1	0.0909091	0.111111
P02585	TNNC2	P0DP24	CALM2	1	0.0909091	0.111111
P02585	TNNC2	P0DP25	CALM3	1	0.0909091	0.111111
P02585	TNNC2	P27482	CALML3	1	0.0909091	0.0909091
P02647	APOA1	Q9HB71	CACYBP	1	0.047619	0.0625
P04114	APOB	P20231	TPSB2	1	0.00340136	0.0666667
P04114	APOB	Q15661	TPSAB1	1	0.00340136	0.0714286
P04280	PRB1	P10163	PRB4	1	0.111111	0.0714286
P04626	ERBB2	Q9H307	PNN	1	0.0175439	0.0232558
P04920	SLC4A2	Q9HBI1	PARVB	1	0.0178571	0.0526316
P05091	ALDH2	P30837	ALDH1B1	1	0.04	0.0384615
P05165	PCCA	Q96RQ3	MCCC1	1	0.0188679	0.0227273
P05386	RPLP1	P05387	RPLP2	1	0.25	0.2
P05787	KRT8	P17661	DES	1	0.03125	0.0277778
P05787	KRT8	Q8NEB9	PIK3C3	1	0.03125	0.0175439
P05976	MYL1	P08590	MYL3	1	0.0833333	0.0769231
P05976	MYL1	P12829	MYL4	1	0.0833333	0.0769231
P05997	COL5A2	P12110	COL6A2	1	0.0108696	0.0166667
P05997	COL5A2	Q9UHB6	LIMA1	1	0.0108696	0.0169492
P06727	APOA4	Q14980	NUMA1	1	0.0344828	0.00699301
P06727	APOA4	Q15020	SART3	1	0.0344828	0.0172414
P06744	GPI	Q01082	SPTBN1	1	0.0277778	0.00613497
P06753	TPM3	Q96CV9	OPTN	1	0.0416667	0.025641
P07237	P4HB	Q96JJ7	TMX3	1	0.025641	0.04
P07384	CAPN1	P17655	CAPN2	1	0.025641	0.0277778
P07476	IVL	P35580	MYH10	1	0.027027	0.00787402
P07900	HSP90AA1	Q92538	GBF1	1	0.0263158	0.00917431
P07942	LAMB1	Q5TZA2	CROCC	1	0.0103093	0.00694444
P07951	TPM2	P35609	ACTN2	1	0.0434783	0.016129
P07951	TPM2	Q9H0D6	XRN2	1	0.0434783	0.0172414
P08123	COL1A2	Q6P1N0	CC2D1A	1	0.0125	0.0172414
P08123	COL1A2	Q99715	COL12A1	1	0.0125	0.0060241
P08238	HSP90AB1	P14625	HSP90B1	1	0.0263158	0.0204082
P08238	HSP90AB1	Q92538	GBF1	1	0.0263158	0.00917431
P08559	PDHA1	P0DPI2	GATD3	1	0.04	0.0625
P08590	MYL3	P12829	MYL4	1	0.0769231	0.0769231
P09104	ENO2	P29317	EPHA2	1	0.037037	0.0185185
P09429	HMGB1	Q08945	SSRP1	1	0.1	0.025
P09488	GSTM1	P21266	GSTM3	1	0.0588235	0.0526316
P09493	TPM1	Q96CV9	OPTN	1	0.0434783	0.025641
P09525	ANXA4	P63208	SKP1	1	0.0434783	0.0833333
P09543	CNP	P49750	YLPM1	1	0.0322581	0.00943396
P09619	PDGFRB	P27361	MAPK3	1	0.0217391	0.0434783
P09619	PDGFRB	P28482	MAPK1	1	0.0217391	0.0416667
P09651	HNRNPA1	P22626	HNRNPA2B1	1	0.0526316	0.05
P09913	IFIT2	P09914	IFIT1	1	0.030303	0.030303
P0C0S5	H2AZ1	Q8IUE6	H2AC21	1	0.166667	0.166667
P0CG30	GSTT2B	P30711	GSTT1	1	0.0833333	0.0909091
P0DMV8	HSPA1A	Q15031	LARS2	1	0.0277778	0.0204082
P0DMV9	HSPA1B	Q15031	LARS2	1	0.0277778	0.0204082
P10253	GAA	Q06033	ITIH3	1	0.0232558	0.0217391
P10916	MYL2	P19105	MYL12A	1	0.0909091	0.0909091
P10916	MYL2	P24844	MYL9	1	0.0909091	0.0909091
P10916	MYL2	Q02045	MYL5	1	0.0909091	0.0833333
P11055	MYH3	P46199	MTIF2	1	0.00787402	0.0277778
P11055	MYH3	Q09666	AHNAK	1	0.00787402	0.00369004
P11055	MYH3	Q9H6N6	MYH16	1	0.00787402	0.0121951
P11055	MYH3	Q9Y2K3	MYH15	1	0.00787402	0.00840336
P11055	MYH3	Q9Y4I1	MYO5A	1	0.00787402	0.00854701
P11142	HSPA8	P38646	HSPA9	1	0.027027	0.0232558
P11277	SPTB	P78559	MAP1A	1	0.00689655	0.00757576
P11532	DMD	Q8N163	CCAR2	1	0.004329	0.0185185
P11532	DMD	Q96Q15	SMG1	1	0.004329	0.00507614
P11586	MTHFD1	Q6UB35	MTHFD1L	1	0.0178571	0.0178571
P12110	COL6A2	P20908	COL5A1	1	0.0166667	0.0102041
P12110	COL6A2	P39059	COL15A1	1	0.0166667	0.02
P12270	TPR	P82650	MRPS22	1	0.0070922	0.04
P12270	TPR	Q9NZJ4	SACS	1	0.0070922	0.00347222
P12273	PIP	Q9Y696	CLIC4	1	0.0833333	0.0588235
P12277	CKB	P17540	CKMT2	1	0.0434783	0.037037
P12882	MYH1	Q09666	AHNAK	1	0.00787402	0.00369004
P12882	MYH1	Q9H6N6	MYH16	1	0.00787402	0.0121951
P12882	MYH1	Q9Y2K3	MYH15	1	0.00787402	0.00840336
P12882	MYH1	Q9Y4I1	MYO5A	1	0.00787402	0.00854701
P12883	MYH7	Q09666	AHNAK	1	0.00806452	0.00369004
P12883	MYH7	Q9Y4I1	MYO5A	1	0.00806452	0.00854701
P13533	MYH6	Q09666	AHNAK	1	0.008	0.00369004
P13533	MYH6	Q9Y2K3	MYH15	1	0.008	0.00840336
P13533	MYH6	Q9Y4I1	MYO5A	1	0.008	0.00854701
P13535	MYH8	P46199	MTIF2	1	0.00793651	0.0277778
P13535	MYH8	Q09666	AHNAK	1	0.00793651	0.00369004
P13535	MYH8	Q96Q27	ASB2	1	0.00793651	0.0285714
P13535	MYH8	Q9H6N6	MYH16	1	0.00793651	0.0121951
P13535	MYH8	Q9Y2K3	MYH15	1	0.00793651	0.00840336
P13535	MYH8	Q9Y4I1	MYO5A	1	0.00793651	0.00854701
P13639	EEF2	Q15029	EFTUD2	1	0.0188679	0.0185185
P13639	EEF2	Q15477	SKIC2	1	0.0188679	0.0149254
P13667	PDIA4	P30101	PDIA3	1	0.0222222	0.0294118
P13667	PDIA4	Q9UKG1	APPL1	1	0.0222222	0.025641
P13805	TNNT1	P45378	TNNT3	1	0.0714286	0.0769231
P13805	TNNT1	P45379	TNNT2	1	0.0714286	0.0555556
P13805	TNNT1	Q8IVD9	NUDCD3	1	0.0714286	0.0384615
P14543	NID1	Q14112	NID2	1	0.0181818	0.015625
P15153	RAC2	P60953	CDC42	1	0.1	0.111111
P15531	NME1	Q13232	NME3	1	0.0833333	0.0833333
P15924	DSP	P58107	EPPK1	1	0.00492611	0.00613497
P15924	DSP	Q14BN4	SLMAP	1	0.00492611	0.0163934
P15924	DSP	Q15149	PLEC	1	0.00492611	0.00298507
P17540	CKMT2	P68400	CSNK2A1	1	0.037037	0.05
P17540	CKMT2	Q8NEV1	CSNK2A3	1	0.037037	0.0454545
P19105	MYL12A	Q02045	MYL5	1	0.0909091	0.0833333
P19237	TNNI1	P19429	TNNI3	1	0.0714286	0.0909091
P19237	TNNI1	P48788	TNNI2	1	0.0714286	0.0833333
P20231	TPSB2	Q69YQ0	SPECC1L	1	0.0666667	0.0140845
P20591	MX1	P50570	DNM2	1	0.0238095	0.0169492
P20592	MX2	P50570	DNM2	1	0.0217391	0.0169492
P20807	CAPN3	Q13618	CUL3	1	0.02	0.0196078
P21266	GSTM3	P28161	GSTM2	1	0.0526316	0.0555556
P21266	GSTM3	Q03013	GSTM4	1	0.0526316	0.0588235
P21796	VDAC1	P45880	VDAC2	1	0.0555556	0.0588235
P21796	VDAC1	Q9Y277	VDAC3	1	0.0555556	0.0555556
P21817	RYR1	Q13439	GOLGA4	1	0.00364964	0.00621118
P22033	MMUT	Q9NYF8	BCLAF1	1	0.025641	0.02
P22087	FBL	Q01844	EWSR1	1	0.0434783	0.0434783
P22392	NME2	Q13232	NME3	1	0.0714286	0.0833333
P22626	HNRNPA2B1	Q32P51	HNRNPA1L2	1	0.05	0.0555556
P23109	AMPD1	Q01433	AMPD2	1	0.0238095	0.0227273
P23109	AMPD1	Q8WX92	NELFB	1	0.0238095	0.025641
P23246	SFPQ	Q15233	NONO	1	0.0277778	0.0384615
P23284	PPIB	P45877	PPIC	1	0.0625	0.0833333
P23284	PPIB	P62937	PPIA	1	0.0625	0.0714286
P23368	ME2	Q16798	ME3	1	0.0294118	0.027027
P23497	SP100	Q08945	SSRP1	1	0.0196078	0.025
P23528	CFL1	P60981	DSTN	1	0.0833333	0.0769231
P24844	MYL9	Q02045	MYL5	1	0.0909091	0.0833333
P25325	MPST	Q16762	TST	1	0.047619	0.0454545
P25325	MPST	Q8NEX9	SDR9C7	1	0.047619	0.0454545
P25685	DNAJB1	Q9UDY4	DNAJB4	1	0.047619	0.0526316
P26583	HMGB2	Q08945	SSRP1	1	0.0909091	0.025
P26599	PTBP1	Q9UKA9	PTBP2	1	0.047619	0.0454545
P27797	CALR	P27824	CANX	1	0.037037	0.027027
P27797	CALR	Q8N3F8	MICALL1	1	0.037037	0.0204082
P27824	CANX	P35269	GTF2F1	1	0.027027	0.0416667
P27824	CANX	P82663	MRPS25	1	0.027027	0.0909091
P27824	CANX	Q13936	CACNA1C	1	0.027027	0.010101
P27824	CANX	Q8IYE0	CCDC146	1	0.027027	0.0153846
P28289	TMOD1	Q9NYL9	TMOD3	1	0.047619	0.0434783
P28289	TMOD1	Q9NZQ9	TMOD4	1	0.047619	0.0555556
P30405	PPIF	P62937	PPIA	1	0.0625	0.0714286
P30533	LRPAP1	Q99996	AKAP9	1	0.04	0.00355872
P30740	SERPINB1	P50452	SERPINB8	1	0.0454545	0.0416667
P30740	SERPINB1	P50453	SERPINB9	1	0.0454545	0.037037
P31689	DNAJA1	Q14203	DCTN1	1	0.0416667	0.0135135
P31942	HNRNPH3	P52597	HNRNPF	1	0.05	0.0454545
P31944	CASP14	Q03001	DST	1	0.0555556	0.00207039
P31944	CASP14	Q9NP81	SARS2	1	0.0555556	0.0294118
P32455	GBP1	Q96PP9	GBP4	1	0.03125	0.0285714
P33897	ABCD1	Q9Y3D2	MSRB2	1	0.0227273	0.0909091
P35221	CTNNA1	Q9UI47	CTNNA3	1	0.0181818	0.0196078
P35237	SERPINB6	P50452	SERPINB8	1	0.0416667	0.0416667
P35241	RDX	Q69YQ0	SPECC1L	1	0.027027	0.0140845
P35241	RDX	Q9Y617	PSAT1	1	0.027027	0.0357143
P35269	GTF2F1	P82663	MRPS25	1	0.0416667	0.0909091
P35269	GTF2F1	Q13936	CACNA1C	1	0.0416667	0.010101
P35269	GTF2F1	Q8IYE0	CCDC146	1	0.0416667	0.0153846
P35579	MYH9	Q9Y2K3	MYH15	1	0.00775194	0.00840336
P35579	MYH9	Q9Y4I1	MYO5A	1	0.00775194	0.00854701
P35580	MYH10	P42229	STAT5A	1	0.00787402	0.0208333
P35580	MYH10	P51692	STAT5B	1	0.00787402	0.0217391
P35580	MYH10	Q13439	GOLGA4	1	0.00787402	0.00621118
P35580	MYH10	Q9Y2K3	MYH15	1	0.00787402	0.00840336
P35580	MYH10	Q9Y490	TLN1	1	0.00787402	0.00657895
P35580	MYH10	Q9Y4G6	TLN2	1	0.00787402	0.00662252
P35580	MYH10	Q9Y4I1	MYO5A	1	0.00787402	0.00854701
P35611	ADD1	Q9UEY8	ADD3	1	0.0285714	0.03125
P35612	ADD2	Q9UEY8	ADD3	1	0.0243902	0.03125
P36542	ATP5F1C	Q9Y490	TLN1	1	0.0588235	0.00657895
P36959	GMPR	Q9P2T1	GMPR2	1	0.0588235	0.0588235
P38646	HSPA9	P54652	HSPA2	1	0.0232558	0.025
P40222	TXLNA	Q8N3L3	TXLNB	1	0.0294118	0.0243902
P41226	UBA7	Q15075	EEA1	1	0.0196078	0.00900901
P41226	UBA7	Q9HAV7	GRPEL1	1	0.0196078	0.0555556
P42226	STAT6	P42229	STAT5A	1	0.027027	0.0208333
P42226	STAT6	P51692	STAT5B	1	0.027027	0.0217391
P42704	LRPPRC	Q5JPH6	EARS2	1	0.00961538	0.03125
P43246	MSH2	Q4ZHG4	FNDC1	1	0.0181818	0.00862069
P43686	PSMC4	P62191	PSMC1	1	0.0384615	0.037037
P43686	PSMC4	P62195	PSMC5	1	0.0384615	0.0357143
P45378	TNNT3	Q86XX4	FRAS1	1	0.0769231	0.00552486
P45877	PPIC	P62937	PPIA	1	0.0833333	0.0714286
P45880	VDAC2	Q9Y277	VDAC3	1	0.0588235	0.0555556
P45973	CBX5	Q13185	CBX3	1	0.0833333	0.111111
P45974	USP5	Q8IWA5	SLC44A2	1	0.0222222	0.0277778
P45974	USP5	Q92995	USP13	1	0.0222222	0.0232558
P45985	MAP2K4	P46734	MAP2K3	1	0.0384615	0.0384615
P45985	MAP2K4	P52564	MAP2K6	1	0.0384615	0.0416667
P46783	RPS10	Q15149	PLEC	1	0.0833333	0.00298507
P46821	MAP1B	Q5K651	SAMD9	1	0.00869565	0.0114943
P46821	MAP1B	Q5TZA2	CROCC	1	0.00869565	0.00694444
P46821	MAP1B	Q8IVG5	SAMD9L	1	0.00869565	0.0107527
P48681	NES	Q14134	TRIM29	1	0.00990099	0.0238095
P48681	NES	Q9UKV3	ACIN1	1	0.00990099	0.0119048
P49069	CAMLG	Q9BS26	ERP44	1	0.047619	0.0416667
P49321	NASP	Q12904	AIMP1	1	0.0227273	0.0526316
P49321	NASP	Q9H5N1	RABEP2	1	0.0227273	0.0294118
P49406	MRPL19	Q86V48	LUZP1	1	0.0416667	0.0140845
P49750	YLPM1	Q13642	FHL1	1	0.00943396	0.0416667
P49750	YLPM1	Q9BYX4	IFIH1	1	0.00943396	0.0166667
P49792	RANBP2	P62937	PPIA	1	0.00469484	0.0714286
P50238	CRIP1	P52943	CRIP2	1	0.2	0.0769231
P50416	CPT1A	Q92523	CPT1B	1	0.0232558	0.0222222
P50479	PDLIM4	Q53GG5	PDLIM3	1	0.0526316	0.05
P50993	ATP1A2	P98194	ATP2C1	1	0.0178571	0.0208333
P50993	ATP1A2	Q93084	ATP2A3	1	0.0178571	0.02
P51116	FXR2	Q58WW2	DCAF6	1	0.0238095	0.025641
P51668	UBE2D1	P61077	UBE2D3	1	0.2	0.2
P51668	UBE2D1	P62837	UBE2D2	1	0.2	0.2
P51812	RPS6KA3	Q6P0Q8	MAST2	1	0.0212766	0.01
P51858	HDGF	Q7Z4V5	HDGFL2	1	0.0588235	0.0263158
P51858	HDGF	Q9Y3E1	HDGFL3	1	0.0588235	0.1
P51911	CNN1	Q99439	CNN2	1	0.0588235	0.0625
P53708	ITGA8	Q9Y224	RTRAF	1	0.0192308	0.0555556
P53778	MAPK12	Q16539	MAPK14	1	0.047619	0.0555556
P53992	SEC24C	Q63HN8	RNF213	1	0.0217391	0.00323625
P54619	PRKAG1	Q9UGI9	PRKAG3	1	0.0454545	0.0454545
P54868	HMGCS2	Q01581	HMGCS1	1	0.030303	0.037037
P55084	HADHB	Q8WYL5	SSH1	1	0.0344828	0.0175439
P55196	AFDN	Q9Y520	PRRC2C	1	0.00925926	0.0075188
P55209	NAP1L1	Q99733	NAP1L4	1	0.0714286	0.0526316
P55327	TPD52	Q16890	TPD52L1	1	0.0909091	0.0833333
P56539	CAV3	Q03135	CAV1	1	0.142857	0.0909091
P58876	H2BC5	Q00872	MYBPC1	1	0.0909091	0.0138889
P60953	CDC42	P63000	RAC1	1	0.111111	0.1
P60981	DSTN	Q9Y281	CFL2	1	0.0769231	0.0769231
P61026	RAB10	P61106	RAB14	1	0.0588235	0.0625
P61026	RAB10	Q6IQ22	RAB12	1	0.0588235	0.04
P61077	UBE2D3	Q9Y2X8	UBE2D4	1	0.2	0.2
P61106	RAB14	P62820	RAB1A	1	0.0625	0.0555556
P61106	RAB14	Q6IQ22	RAB12	1	0.0625	0.04
P61106	RAB14	Q9H0U4	RAB1B	1	0.0625	0.0555556
P61457	PCBD1	Q86Y82	STX12	1	0.125	0.0666667
P61457	PCBD1	Q9BQS8	FYCO1	1	0.125	0.0102041
P61457	PCBD1	Q9H0N5	PCBD2	1	0.125	0.1
P62191	PSMC1	P62195	PSMC5	1	0.037037	0.0357143
P62820	RAB1A	Q6IQ22	RAB12	1	0.0555556	0.04
P62837	UBE2D2	Q9Y2X8	UBE2D4	1	0.2	0.2
P62937	PPIA	Q08752	PPID	1	0.0714286	0.0333333
P68871	HBB	P69891	HBG1	1	0.0909091	0.0833333
P78559	MAP1A	Q4ZHG4	FNDC1	1	0.00757576	0.00862069
P82663	MRPS25	Q13936	CACNA1C	1	0.0909091	0.010101
P82663	MRPS25	Q8IYE0	CCDC146	1	0.0909091	0.0153846
P82664	MRPS10	Q9Y618	NCOR2	1	0.0666667	0.00649351
P84103	SRSF3	Q16629	SRSF7	1	0.111111	0.0714286
P98194	ATP2C1	Q93084	ATP2A3	1	0.0208333	0.02
Q00169	PITPNA	Q13610	PWP1	1	0.0384615	0.04
Q00839	HNRNPU	Q9BUJ2	HNRNPUL1	1	0.0204082	0.0212766
Q00872	MYBPC1	Q14324	MYBPC2	1	0.0138889	0.0142857
Q00G26	PLIN5	Q5SW79	CEP170	1	0.0384615	0.00970874
Q01082	SPTBN1	Q9BZF9	UACA	1	0.00613497	0.00909091
Q01432	AMPD3	Q16891	IMMT	1	0.025641	0.0185185
Q01432	AMPD3	Q9C0D5	TANC1	1	0.025641	0.00884956
Q01484	ANK2	Q16854	DGUOK	1	0.00436681	0.0625
Q01484	ANK2	Q9BVS5	TRMT61B	1	0.00436681	0.0357143
Q01484	ANK2	Q9Y4W6	AFG3L2	1	0.00436681	0.0188679
Q01970	PLCB3	Q9NQ66	PLCB1	1	0.016129	0.0151515
Q02790	FKBP4	Q13451	FKBP5	1	0.0294118	0.0322581
Q03001	DST	Q5EBL4	RILPL1	1	0.00207039	0.0357143
Q03001	DST	Q9NP81	SARS2	1	0.00207039	0.0294118
Q03001	DST	Q9NQ38	SPINK5	1	0.00207039	0.0181818
Q03001	DST	Q9NUQ9	CYRIB	1	0.00207039	0.0434783
Q03938	ZNF90	Q15942	ZYX	1	0.0263158	0.037037
Q05682	CALD1	Q7Z406	MYH14	1	0.0232558	0.00787402
Q05682	CALD1	Q9UKV3	ACIN1	1	0.0232558	0.0119048
Q07065	CKAP4	Q8N283	ANKRD35	1	0.0222222	0.0153846
Q07065	CKAP4	Q96K21	ZFYVE19	1	0.0222222	0.0294118
Q08378	GOLGA3	Q9BYG3	NIFK	1	0.0103093	0.0588235
Q09013	DMPK	Q5VT25	CDC42BPA	1	0.037037	0.0107527
Q09013	DMPK	Q9Y5S2	CDC42BPB	1	0.037037	0.0107527
Q09666	AHNAK	Q9UKX2	MYH2	1	0.00369004	0.00787402
Q09666	AHNAK	Q9UKX3	MYH13	1	0.00369004	0.008
Q09666	AHNAK	Q9Y623	MYH4	1	0.00369004	0.00787402
Q0VAK6	LMOD3	Q9BUQ8	DDX23	1	0.0294118	0.0185185
Q0VF96	CGNL1	Q96T76	MMS19	1	0.0103093	0.0185185
Q12800	TFCP2	Q8NE71	ABCF1	1	0.0454545	0.0227273
Q12904	AIMP1	Q9H5N1	RABEP2	1	0.0526316	0.0294118
Q12955	ANK3	Q9Y2X7	GIT1	1	0.0037037	0.0208333
Q13203	MYBPH	Q14517	FAT1	1	0.037037	0.00469484
Q13243	SRSF5	Q13247	SRSF6	1	0.0714286	0.05
Q13283	G3BP1	Q8N3K9	CMYA5	1	0.0384615	0.00434783
Q13326	SGCG	Q92629	SGCD	1	0.0526316	0.0526316
Q13424	SNTA1	Q13425	SNTB2	1	0.0357143	0.03125
Q13424	SNTA1	Q13884	SNTB1	1	0.0357143	0.0285714
Q13428	TCOF1	Q8WZ42	TTN	1	0.0120482	0.000451671
Q13439	GOLGA4	Q8NF91	SYNE1	1	0.00621118	0.00176678
Q13561	DCTN2	Q15276	RABEP1	1	0.0384615	0.016129
Q13573	SNW1	Q9HCU0	CD248	1	0.0285714	0.03125
Q13796	SHROOM2	Q8N983	MRPL43	1	0.00909091	0.0769231
Q13907	IDI1	Q9BXS1	IDI2	1	0.0714286	0.0714286
Q13936	CACNA1C	Q8IYE0	CCDC146	1	0.010101	0.0153846
Q14008	CKAP5	Q15020	SART3	1	0.00826446	0.0172414
Q14103	HNRNPD	Q99729	HNRNPAB	1	0.0666667	0.0714286
Q14134	TRIM29	Q9UKV3	ACIN1	1	0.0238095	0.0119048
Q14151	SAFB2	Q9NWH9	SLTM	1	0.0196078	0.0196078
Q14185	DOCK1	Q7Z3K3	POGZ	1	0.00840336	0.0151515
Q14185	DOCK1	Q92831	KAT2B	1	0.00840336	0.0222222
Q14324	MYBPC2	Q14896	MYBPC3	1	0.0142857	0.0131579
Q14624	ITIH4	Q9Y3S1	WNK2	1	0.02	0.0111111
Q14683	SMC1A	Q9BZF9	UACA	1	0.0113636	0.00909091
Q14683	SMC1A	Q9NR19	ACSS2	1	0.0113636	0.030303
Q14683	SMC1A	Q9Y608	LRRFIP2	1	0.0113636	0.0217391
Q14697	GANAB	Q92947	GCDH	1	0.0181818	0.0344828
Q14738	PPP2R5D	Q16537	PPP2R5E	1	0.0322581	0.0434783
Q14789	GOLGB1	Q15393	SF3B3	1	0.00438596	0.0166667
Q14789	GOLGB1	Q8NE71	ABCF1	1	0.00438596	0.0227273
Q14789	GOLGB1	Q9UMZ2	SYNRG	1	0.00438596	0.0142857
Q14980	NUMA1	Q15020	SART3	1	0.00699301	0.0172414
Q14980	NUMA1	Q15149	PLEC	1	0.00699301	0.00298507
Q15046	KARS1	Q5JR59	MTUS2	1	0.030303	0.0108696
Q15075	EEA1	Q7Z4V5	HDGFL2	1	0.00900901	0.0263158
Q15075	EEA1	Q9HAV7	GRPEL1	1	0.00900901	0.0555556
Q15075	EEA1	Q9NR99	MXRA5	1	0.00900901	0.00598802
Q15172	PPP2R5A	Q16537	PPP2R5E	1	0.04	0.0434783
Q15181	PPA1	Q9H2U2	PPA2	1	0.05	0.04
Q15393	SF3B3	Q96EY7	PTCD3	1	0.0166667	0.0222222
Q15424	SAFB	Q9NWH9	SLTM	1	0.0204082	0.0196078
Q15517	CDSN	Q9NZI8	IGF2BP1	1	0.0625	0.0285714
Q15555	MAPRE2	Q15691	MAPRE1	1	0.0526316	0.0526316
Q15555	MAPRE2	Q9UPY8	MAPRE3	1	0.0526316	0.0555556
Q15661	TPSAB1	Q69YQ0	SPECC1L	1	0.0714286	0.0140845
Q15691	MAPRE1	Q9UPY8	MAPRE3	1	0.0526316	0.0555556
Q16555	DPYSL2	Q92556	ELMO1	1	0.0294118	0.0222222
Q16630	CPSF6	Q8N684	CPSF7	1	0.0434783	0.0416667
Q16787	LAMA3	Q8IWW8	ADHFE1	1	0.00507614	0.0384615
Q2M2I8	AAK1	Q92736	RYR2	1	0.0222222	0.00334448
Q2V2M9	FHOD3	Q9Y613	FHOD1	1	0.012987	0.0153846
Q32MK0	MYLK3	Q9H1R3	MYLK2	1	0.0212766	0.0285714
Q32P28	P3H1	Q8IVL5	P3H2	1	0.0322581	0.0238095
Q52LJ0	FAM98B	Q92841	DDX17	1	0.037037	0.0243902
Q53TN4	CYBRD1	Q7L775	EPM2AIP1	1	0.111111	0.027027
Q567U6	CCDC93	Q70UQ0	IKBIP	1	0.0238095	0.0454545
Q58FF6	HSP90AB4P	Q58FF8	HSP90AB2P	1	0.0357143	0.0434783
Q5M775	SPECC1	Q69YQ0	SPECC1L	1	0.0144928	0.0140845
Q5T9L3	WLS	Q9H2H8	PPIL3	1	0.0434783	0.0769231
Q5VST9	OBSCN	Q86VF2	IGFN1	1	0.00235849	0.0142857
Q5VU43	PDE4DIP	Q96T76	MMS19	1	0.00662252	0.0185185
Q5VUA4	ZNF318	Q9Y4D1	DAAM1	1	0.00763359	0.0144928
Q5VW36	FOCAD	Q96HN2	AHCYL2	1	0.0107527	0.0285714
